COMPID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
15753	51449372	32700642	29814572	58990764	13026303	14771632	5833084	29801350	55220784	131421128	6695636	28108334	22113628	21742960	21610574	218849920	28760260	43273720	18688560	29112678	29641110	28086176	78176560	35385164	37966128	30770492	30360792	17946044	75765760	31679476	28517324	51652392	13456945	19645790	52915640	26816000	17882822	35467308	72828744	79173464	23233072	32260858	37481056	33884240	17858494	45583924	32158180	8265281	33995612	58158656	22793110	18831592	79355432	27220736	52329892	53615976	7558106	35973172	163269536	36929376	17042738	42385796	232018480	19132410	60667992	19021154	20869428	15607778	52118212	12470933	71923680	31782154	170403424	40685412	14277955	10746789	24837124	47152700	192727088	18092808	52463168	11916646	20978280	14537565	20445914	41483192	9726808	79227424	17208064	26616654	73622416	45779832	8617477	46619352	48445956	7019570	41672360	148397056	29150946	129009016	104853632	26652042	63891108	27017326	7757843	23924382	49771348	29944724	31083954	115015288	30056092	113785488	13766538	46947504	12078037	69099456	77180792	39803376	105515008	18157746	21554870	13694996	64091644	55088860	156501936	19231206	41937080	63827472	51086768	58080984	18581596	40657852
59	79277976	124263240	109207400	72416544	65378272	51855660	63578368	60611652	62688352	69292168	64142612	66155344	48521000	70677872	50393524	92583072	73302288	74422968	72820024	94801704	97861784	63115268	82970936	64595008	65905380	80687880	101252560	76357192	65653236	50434752	58919856	61747792	76790448	80578256	51281044	68270840	91818344	60231704	63019352	48890752	58525964	76231896	53841536	68246720	63125968	74972264	67420568	49085912	58101240	62691476	83864512	70002648	38895120	58869252	51590884	65101952	69222936	76198432	52090660	55758808	81558376	55829904	56413576	65029508	79563360	67295920	72330848	63596864	70952408	61364640	92721824	74876624	53178272	83669952	55971776	60880220	83097976	77550960	64743780	49933016	71055584	40906132	49916816	51683212	52631412	46073660	52616376	84103104	81491496	65936240	59956272	80287600	74071048	65646728	42096600	74645616	68438456	51257456	56750340	50776960	51746324	58626392	38338292	62425932	40807628	64124124	77257104	61721532	65444572	40662680	52271948	46278564	55829652	57459716	59789564	57546644	59553064	55542952	50779720	66765828	70763552	57099860	65024628	66012140	100987008	57421804	49811948	80752888	48714196	50860512	57575276	69152096
22137	107631		616055	461572		341716		52248	106485				234239	485865		273652		361520				511517	433205			274165	367838	1003175	104316	26260				474904		533995	1079465	34603	196670	354207			399302	141615	343655	474808				404837	554157	153805	174822	1386321	293601	450372	272265	623725	578442		471898			286273	505979		566594		89813	953936		146880			379232		511335	987031			824550	592984	548045	1530138	433205	197488	732201	807372	858022	500923	61432	397767	709738	120520	806075	885118	673234	904020	66167	937945		969981				220002	210608		995183	492800	431600	269600		285408	444877	234650	118224	415568	399099		529560	615858	605591	554137	371314	132833	742602	288684	1661801	209767	38174	522754
39601	928761	445500	580659	162086	92316	292158	415390	288206	320274	677410	299679		273649		304273	302763	227308	217125	565632	179720	331644		151259	127921	369291	593507	254362	195314	2318778	2163250	363787	293473	697505	604840		853606	278002	434981	67583	220790	540530	252536	224230	181104	86041	316955	2203977	812063	320207	194144	464024	182678	169407	55159	376337	306063	843485	901446	391237	514506	282939	73105	269512	456079	202707	212882	194339	898690	218227		256861	993641	900552	541792	172666	227667		284254	738141	2722559	5983421	914544	332834	1224207	550226	637025	191956	581036	144315	323158	1234576	571953	123617	1610012	297591	76749	276493	190486	241799	838320	166678	252757	127795	114784	37134	196060	74773		116596	120084	213156	324010	152811	355332	218893	393824	204204	179435	160573	130601	106035	296307	381698	227204	179396	354061	325990	269576	332230	263457	155883	192752
22138	4197526	1783834	1811327	1663667	2112216	1146024	1473594	940977	2546394	3388226	1280719	1258447	1513373	1016424	2005769	674920	1225050	1524093	579811	706003		914640	1412500	1258262	2404978	1938336	1572395	3069489	1846415	603275	1645118	795300	1452427	811561	653609	1608793	7984871	1954112	1034273	1390752	407084	320940	1795543	736689	795574	1425255	1571402	463380	1499585	654365	2635846	1164554	365629	1463401	732217	1243445	481922	899673	986303	956537	1260667	1699381	675959	1581163	1418137	458691	1126775	196161	1608119	549453	689648	1668221	1049323	1287567	627605	893043	1163497	3892200	1401626	5753370	1691578	1436204	4328862	2659840	1527262	1707728	1490841	1595897	695302	1619914	3780317	1377997	2028584	1250977	960697	1060976	2286745	1867826	1024343	3209611	1352238	1075214	675252	1581560	1243866	3273663	516342	2491136	1001734	1211011	1155369	1915029	1440729	1279159	817928	1533161	1838696	641602	810226	864766	1531474	2031421	2403213	898025	1726662	1772790	966436	1939387	1362829	1716660	1456738	2720481
33009	1101360	4083321	18571112	5512551	5841268	2388105	1460870	6512098	7301089	4598958	4450133	4636404	4687891	3640325	2997536	4891937	6066720	4831688	5038886	7399588	7265548	3788853	1695096	6246818	1480115	3003461	1426817	1863894	1880149	4851337	13026586	4465777	3986150	3169139	1335953	2539731	163560	2868406	5632196	3510639	5150057	4363406	6245893	3409719	1064881	3952576	1649764	1828807	7443451	2540958	3929210	2034159	2565971	1024177	2950499	7644946	1039544	3698141	3181102	1938189	6241384	1532111	2310906	4449737	1637107	5424796	3003585	3539715	3594717	944790	3840426	10326928	4234970	3295224	5557013	2448624	2577978	3638402	11921897	377374	2931552	3073216	1834414	914177	2180662	2614706	2248710	3926854	1514264	4228798	4762527	4847938	1651419	3969499	3199814	1936890	3971655	3260807	1814478	1707891	2297356	3403798	2225020	2795982	2005425	3025976	3154525	4722852	2021418	1603162	1886022	2462490	4234666	4714808	2808614	2878254	4812173	2037512	2598453	2075514	3159281	943518	6505198	3326552	3261939	1851276	4849824	3150427	2154719	3324265	3195716	2217598
32836	4267463	5411972	4889006	3791450	4581422	6922234	7000250	3776358	6200575	5948125	10760509	6498680	12933116	6013544	8833214	4332013	3503775	5000328	2793089	3590511	4189611	4727864	5268043	6117511	5284797	3977690	8705824	6311161	2956326	2851636	21109500	4106736	14786519	8144677	10237289	3373388	14905289	5330904	5789244	5489564	4232853	7725108	11902081	4630412	3695014	2677492	3016393	2815166	6794667	11783257	11018009	6467240	8298628	7195265	10906648	7379238	10490208	7184479	16333117	12017256	6072031	6821361	11468261	4697335	10880697	11166063	7063251	8906944	1904589	8002537	4931144	8075366	5132826	8953308	21238040	10933133	10996537	12546601	5052548	5772271	2799645	17502936	20557720	9586388	23717342	13457861	12060269	6774878	5391378	10149017	41634564	37026580	8608928	14027041	33601148	12960754	6693794	10930338	7710600	12021766	6107781	5235435	9010042	8586160	6752948	9866918	7430806	6289373	7030872	7027612	7703242	5021561	6799734	5412068	4604419	9619010	5358168	3972047	7187853	6684336	7312667	3752722	6615779	6644494	4438618	5683497	7600561	10424063	6816296	30584612	509702	871681
40473	17781	50479	290397						15763	60839		202059											25672		53497	33815	29008	45552	167397		40216	17076	4680			45036	126941	90648		21819	31464		40592				22612	21788	109091	11392	93290	32049		13905	28685	20386		42340		17505	41760				47998		25257		160113	15881		45256						60593	64193	86230	40455	43331	17627	46585	54382	37927	50947	68911			35626	24586	58851	13058	38843		78761	49028	21541	12387						47481		81820		47717	18714	37621	17979			18147			20073				143435	58797	40592		39423	130375				59059
35322	242064	198183	135473	4773441	239675	50026	309818	187700	124167	69754	188738	117472	594724	304960	101634	167897	166803	68880	155770	163282	195409	223805	90523	135473	133760	38536	99711	60683	121685	74345	129424	207442	49666	103257	2555920	50775	249870	87560	94265	146011	120127	207753	109522	463911	318800	111498	275776	94255	58663	174506	166220	50503	22248	141577	437265	41477	131629	198526	221602	191891	110941	858507	169829	110492	57544	48613	151932	72353	407602	361447	459862	157366	207020	247751	71648	104344		148996	40249	132802	138407	178479	11036	82280	77704	246336	19116	28176	135473	222532		241772	26842	72412	18872	137186	354445	166809	76810	24633	110512	31699	79124	125139	61404	111324	327137	75320	58179	583471	40407	239234	264356	90320	33092	134697	127877	56639		446480	210564	268705	148954	55924	758169	202761	154032	190863	806211	142708	95431	250611
43264	391408	951370	1725455	5290586	10657508	349155	652397	605105	640862	1301716	393518	461443	373317	2431011	4686943	607408	428184	2964465	378057	197414	267173	1567601	1290760	307591	1075715	286791	1514351	1887083	589155	3596932	278895	282142	3662497	316177	781162	807544	1043596	1236783	675245	697268	613124	299112	751799	366483	441386	1566867	511494	1086829	608741	204318	300454	1046686	392889	720741	526681	244559	776025	543771	103012	717642	738313	620208	945797	1540421	412026	260280	449631	178637	418446	1693124	396397	231050	273275	1102596	795252	296518	385832	297528	1062903	541986	181669	1518061	1244145	1162501	618781	758118	1963902	685278	555826	471984	404974	586852	504282	1780176	175414	232177	834040	642221	659773	1794069	224754	1123429	468997	382386	1410687	459526	252412	486407	189222	497917	556599	504150	333793	872698	1028598	3516435	164489	601968	637438	774319	849123	592292	556823	478261	889562	563437	425927	673138	918518	438999	198180	366793
38661																																																																																									2799533																																											
34093	238850	71969	1442639	383486	160975	185371	638266	125729	186211	58391	148898	52352	80556	184151			162602	34787	221447	224228	376855	354440		68364		388551	288522		229883		94772	65293	221601	571093	171676	146439	75775		187051	338021	159597	17272		386098	98823		168048		223289		183492	95351	135873	522587	4890	428303	596072	116941	82316	169798		2458398	160426	99955			309697		153608	200284	580329	126285	183461	91471	75854	246177	333392		815149	263671	964414	11793	166725		278680	461444	268804	127389	470470	168508	61121		233573	188228	919715	597248	29921	281803	88350		298685	1860698	205811	47963	2465641	191623	143559	147575	612557	87315	123128	186211	129928	303822	423809	571056	188930		183346	338726			232209	93825		577148		32745	649270			134095
590	539603	328532	846881	709486	440403	102214	538743	367960	311124	332690	179004	261250	256224	345419	328388	478622	470588	319402	351549	596984	494442	252914	153567	391402	728740		867730	321832	160903	251486	76587	667148	211810	409975		394815		235420	666594	594301	369765	697572	289025	240108	537859	336442	255471	283009	106294	159179	1238234	466370	140483	373201	241964	112549	406662	127846	494817	199679	311123		242432	616771	267959		343817	462716	319589	570323	307714	639124	218973	169583		676797	127083	253691	198162		131611			171972		228045	243733		362095	97483			352848			216736	259983	627520		154247	297066	348716			175778	305107	121383	199238	100098			138988	233546	183199	271884	332882	223010	275762	124538	168607	667436	331433	652515	943399	265630	81574	96283		146099		192162	
3127	33921936	52397504	60385176	27587138	6828411	55815232	52999832	15612081	8319551	18696778	15442350	41770880	21360120	31579160	26022528	22277050	35069940	7494795	2746346	3434062	27528534	6279651	48490056	35864336	65923256	11294398	22905360	34182972	29896834	20457414	9976826	2538656	66062160	3441309	10579331	86713496	19827242	51050316	94860776	7728640	6200478	14578992	23351288	13972329	5814717	70449880	9515812	17203882	15181293	14618810	32453478	32777368	34293828	19330616	14795869	41395080	37532172	15294627	16284055	42472056	38361168	27173390	15363203	7049796	24474586	25610882	3115941	9052227	2108862	6268728	36400100	15768006	8891910	5686423	8603119	24273954	15196460	10667810	120043272	20239532	22559220	10963136	13213491	1714259	9376705	10887618	1787215	13832240	98517288	3706626	18734920	6829587	36673420	16239931	14233387	70272792	3839203	3218428	11129217	2341301	11861782	17501706	5936369	10279118	11637235	14218221	11467640	17810598	8422829	10713378	9582800	8303712	10095294	10772326	18186346	13458580	8826791	10346372	9514096	4800309	1086922	11446028	21637352	8395144	16154810	22827794	17744688	7612647	10141372	9296266	2279423	1983131
17799					87597											7478954	5062942									40181							2139050					1672425			108265				227855						160596										21759																						36666																	125144																					175524		314361							168060		
38366																168011	13175																																																																																																																			
15716	1339146	941983	1247373	1012761	772768	939457	770250	1259718	1655318	1425209	912586	983964	666302	1512879	1077346	1521551	1205250	1926108	794216	1025516	930571	968720	1153504	928780	1022672	871099	1277765	1269187	1910005	631945	1367761	1114678	1582031	1528970	1404243	1596117	850033	955331	1568045	2021574	982689	1008633	2629480	1931001	1489504	2000056	2233762	1403190	1561763	1346257	2577595	1439649	805700	860860	1445685	2860203	1666426	858009	2761277	1472739	3934817	1246994	1903399	1819591	2511183	2783469	1618272	3449188	2321002	3308424	3262390	1217314	1200580	2270988	1359725	1941042	1211151	1754176	1437625	1771764	2504623	2046080	2725034	1802339	1905103	1484807	3727292	1996365	2050177	3191685	1519162	2613817	3438978	2918329	2202970	1684520	1668295	1788903	1659400	1568035	707148	791156	914178	611867	611016	988978	767272	1930560	1474690	1297998	1477560	2105311	3289281	2143581	1788857	2435625	2008254	1361195	1293747	1974003	3432010	1601711	1441643	1654691	2751536	1901999	3627180	1468150	1551954	2411246	1737941	2341853
40730	514998	261896	4453691	489531	134329	399720	818207	258372	469860	572864	325783	459850	496042	994547	266402	939501	217672	254695	485644	378909	159771	406914	216540	425522	294044	780860	795044	1105215	547415	212526	86255	138533	11602546	636523	81159	356529	158720	873611	485398	5324705	423091	1089036	826968	1505148	1182671	267764	71808	517005	89088	443847	726597	216267	542514	834087	532510	541796	759611	165711	902675	517839	138945	136312	170821	240611	349172	207679	274138	1109475	316011	446418	752119	579391	788055	376362	262189	329113	61767	384979	245817	1435556	607852	311510	206765	599115	859630	520687	2170105	1495982	288716	259872	378739	382542	524878	281191	413213	1647004	351177	974182	323571	842933	244781	1759875	645570	279424	287117	626918	152801	630567	205464	1188568	172988	582853	529685	195321	761271	170565	207213	180421	138998	181603	163314	825947	64168	413176	197146	186160	680984	427058	205118	419475	328997	955031
38116	54753	64261	80961	89787	116335	51406	100562	63235	62591	95526	52588	63853		89316	73791	59120	52822	135246	55223	67594	42457	64744	111605	100546	49622	56141	59813	42111	75681	130325	72603	80980	43961	56247	66864	170891	38655	112753	58892	50504	59499	80550	265885	54588	78724	86229	89017	78680	78132	73625	62280	50266	68018	85699	64489	57168	109470	120346	81008	90999	77055	41507	112930	299165	60053	53386	77946	55461	80320	156593	48983	56475	89559	55347	31941	68928	40165	68284	56845	109588	92728	90744	60122	45448	56530	58150	47317	58740	39795	111819	164183	115555	40492	31242	91441	46900	62198	77996	69260	109956	89497	24574	49011	41469	41103	74905	26688	47579	68049	72924	45144	135635	57323	87501	68080	110249	47124	113243	87391	101224	68864	85055	94111	68504	55874	67814	61725	98001	46872	79530	44844	89115
27513	13906445	22321332	14849490	21046032	11503908	6431460	12959308	15842360	9576242	10406549	12053652	9455657	13221744	11113666	4108014	9245130	4988036	12659407	12876964	15034215	13303765	6813969	11056415	10655848	9261399	12302924	10515255	9362262	9279567	15199702	10230680	8647462	14548087	6611745	15190078	22671820	17491220	34747788	26590260	9673648	12739337	19439118	13689969	14717197	10815253	14926262	12787142	7381946	12450892	15794309	14424381	13376915	8530767	13780227	26178688	12462893	15613357	10621455	10113070	19033928	13204747	21486498	7782076	11084475	12829469	10238975	12674584	4791517	13946465	32043440	16327422	11144076	17387376	9381853	7558138	20697016	21888738	20208860	11677860	32673736	15434380	15548482	4059665	10278968	16853350	14808603	13540195	11799963	10538796	13986999	24097786	17726776	16969270	17118586	6685449	8387468	12197326	24079164	8366835	12942312	20840998	15638325	16904464	12159613	6620233	15888525	11969452	12515274	5857921	41658428	11527053	17135764	15090532	35782400	19341820	9164739	21687958	12685688	18169760	13965196	13806514	15470172	7184070	12860292	15412498	6699107	14109927	21872212	12440660	20103022	10920670	15439118
42087	69264		25444					85903	42082	157964		7229		16512					34579	39047	57990		20520				20274	64637								43785	19845			27649	19861	68873	45064		15683	30664	29406				21859		93029		32572	28552	70133	49334	24810	122533				199668	70583	16339	34496		61176	77767	27967		74358	9460		6801		71160		154024	126489	75994		85240	41242	22100		93706	20472	89826	153338	133054	40402	15673			49039	179626	26672	36828	56526	22594	40768			19457	9891			170436	21560	74013	53875	89914	63446	16506	45656	23923	19238	41716	14397	54265			15805	27977	35196	187117		62329	24732	160166
22114	96074	150374	81153	68121	199129		140145	110974		19600		116568	41387	110829	109047	67551	99842		273042	50326		30479	131493	44219	58998		53228		195540	62470	45976			31305	105456	129905			57966	154051		27326	50555	55209	49063	47305	59675	49128	24146	301027		21896		37257	69991	72686	104313	10782	77427		11947	62160	42823		97777			29234	36443	76573			41336		32654	74080	65522	140882		39273	23442					54749			404051	21885	18450	12629			114301		88361		128683			35685	18144	105178		71154	28416				10421		51419	34197		18880	2479	55209	18247	21823	16542	22548	91604		34165	10188		60091	1269481	75823	52641	74870
34402	266494	131921	71114	149100	67306	69175	157548	75013	10324	30957	65798	50791	118269	79195	63002	64284	58291		56286	176220	204181		35017	294729	39583	120806	43807	18104	122475	101987			451753	97026	25981	288573	60627	192472	279731	150059	123441	95348	83131	78137	41947	132908	53569	130916	449178	437509	198879	130916	82851	138392	358017	358611	348842	64136	76664	339391	173666	354505	324333	27759	90702	103662	84376	282062	204969	326097	219831	249222	317385	67499	126297	348247	1188053	175274	357257	594248	172886	93444	117120	133934	258055	218468	69008	302278	307392	118200	119511	165161	159603	449103	225703	222547	93835	57123	239190	149738	88053	60805	205549	117114	51186	68062	38590	65788	82867	325332	166615	142213	81146	70815	299104	37334	312217	112623	218913	107491	128924	126922	89230	138559	280509	166399	170964	159287	285914	199150	164077	82553
18349	5260471	4754772	3913197	5018549	2504986	2553692	3064242	3980485	4940870	3439568	1861443	3601268	3917644	2820584	1852785	4279648	2077467	3410952	2991300	3831340	2819991	1725678	2392195	4544722	3267746	2197268	2779091	2218233	4520614	1477564	3139152	3105330	2314505	3263339	2693609	3979299	2255118	2508065	3734698	3249397	4534534	2719501	6764255	2782846	5298522	3431247	4417793	2975110	2215239	4189949	3637768	3591089	2953575	2841119	4917473	4023105	5010643	2419148	6298423	4850201	4023856	1710436	4278216	4955985	4256557	2980078	5086750	3912425	3516346	6060951	3890342	3649555	4805521	2871122	2428246	4553488	2917600	5408942	2017014	5596991	5286884	5453334	2224767	4842865	5004950	3985312	4778957	4638128	3895560	4272439	2635764	3664663	6859452	3894789	1523439	4148604	3649648	5011867	4880774	6385754	3504711	3014974	2450980	2895127	2052429	3608765	2438588	4944540	3641420	4543050	3178346	5764929	3727370	5715202	6361333	3976645	5161676	4058293	3338734	5465808	5479158	10536916	3970997	6123448	5541833	4387906	5411421	4374622	6117429	7770527	4420061	6400516
32405	12559750	12226887	20038076	6603368	24762088	8072775	35243500	29357428	20519474	1313262	164814	28363346	41137032	33201774	16666121	15173808	21566044	9000231	18840458	12045687	13392858	9054839	13199821	19039530	16264148	4471969	14952913	7782175	103014320	20600716	22406052	7641586	2086166	9916578	87100808	48988616	1679217	7639861	21542344	41872172	9890571	10121276	16155153	15039132	13678623	19517514	23504980	8993624	41715864	99299488	5923176	8979916	3879865	23424596	48492436	14994340	36586896	10224146	41499376	7490545	16200075	12275623	22663086	15975683	54806988	8626569	6005372	20405844	25681042	18687088	11438401	5543297	17939902	5766014	30275250	37556764	43271772	66996928	23838710	17276876	8766031	13908604	5399148	1942885	9739975	17421796	1805238	2893505	88073592	7283674	14526742	6214652	10508272	5084397	41361308	4024453	17084516	59478	50197016	14184620	6489505	4671983	15517001	18765476	684557	19736364	7642219	29244280	16293201	5437990	30085084	15632492	19979204	16367916	2314936	6464418	13568749	32023630	16110361	25267352	7677239	17708114	14394208	19983334	4974830	6493903	5057794	49576384	598961728	54394960	26175732	21402626
1123	128602	1745827	504672	238802	105465	2508572	778392	408735	196290	280405	1290266	572692	1239092	704059	2043690	1275139	3005553	316046	42893	106001	640727	82576	558833	920268	1132971	355310	197615	1156497	180257	209945	405943		1679764		162933	2855987	662218	1035613	3690734	34880	29387	493000	401068	861611	206193	9046372	34436	272137	198266	1050137	320851	369224	3846526	1484735	3609628	3525597	1314126	277124	1013438	1177657	1421353	1212738	2588766	146839	1052861	1060996	30477	56194		149946	7861400	461798	78468	57435	2419113	461818	704655	2677031	10467743	2046217	1535806	2360782	1675112	55482	2896319	401461	155928	2404251	36776732	370654	1966344	745520	5283581	798929	1849557	18472244	480153	61286	1342784	23318	3513153	3630664	1939671	1488742	426937	1088285	1109446	6411914	3625086	3189688	3300793	3748236	995617	3641949	1296099	2948998	6040170	2782421	4110508	2207600	152911	5418872	2128253	1204946	1407235	18042030	1249363	1277367	2538617	2230766	1708854	5029864
1481	280772	208685	336692	324764	243166	220735	194642	170189	179173	259743	285251	355559	179291	156805	245329	302973	165607	142890	263055	148592	213728	190787	204735	169914	248553	176443	248855	220844	195973	201782	171882	213671	209433	381756	193526	140083	280911	189126	239574	284606	109575	182477	181950	148786	232703	216679	157625	135477	367422	210966	169547	337463	346372	103191	232785	240820	298468	244589	272975	402577	256727	234723	149730	145744	136178	189821	59872	161877	158410	220267	222684	219634	374443	323835	166141	169080	166679	253956	374431	166050	220286	99248	287099	367518	211580	90967	130679	398862	78732	91548	209956	275569	155021	227561	112343	162824	147808	146298	209786	173171	250713	199451	240937	386089	187695	198308	205548	183182	310248	210534	154834	217622	180615	197398	228607	154350	208254	327192	308825	152673	127737	268432	236208	208249	255379	218409	133912	150293	257162	276454	274536	138064
33441	7349453	11041445	16804974	15301255	11082701	5484015	5171985	8560929	12968454	3698057	4980525	13443030	9311733	8800397	4491363	19316762	5529813	12107774	10510171	7681002	5366357	6205033	8771843	14132530	11096892	10727573	5433933	16797598	7760786	4724914	8158283	11227113	3666367	6961406	7927126	8854284	24085954	19849696	7750075	13801040	11716069	5798633	8840295	5379064	2926300	10694908	12008516	1914127	13698504	14189653	7808737	7691713	4471128	3839843	16787726	7365503	1863282	11094566	3044304	4770148	5719437	6216466	6549852	17045880	13874424	2073409	12978530	66030292	6634260	4115827	5205700	8584440	3749552	9060311	10672152	6599826	23622696	4212160	6625965	10376780	2552419	3631431	9952210	6777879	7286118	6669945	6233560	7633052	5305654	9694026	8642895	6646845	11225885	3269248	3530249	5544771	6575417	13531457	3946107	14151508	4052316	9868031	1969111	4526199	1924430	9056949	10672793	15096171	3742498	2409447	2471906	3417710	10895030	33211210	3682961	7827539	4111059	2121490	8979602	7610166	6317396	4692462	9870042	9816021	41792364	3954880	10529601	15871938	11329883	12436032	4016820	12627078
35437	43948	86571	164441			88590	38675	55268	120134	86657	78522	96823	108229				73060	53119	145543	94154	134454		102301	80756	115483	156454		92919	153686	52242	120760	122936	43364		78110	58365	105613	55092	69077	114943	88049	40609	68248	36419	44603	101671	54035	61535	127338	107840	26125	59103	47482	47366	43473	94662	31164	90543		58721	84878	68308	61824	116275	60496	78294	69889	939395	110510	41357	92065	201370	93550	79036		40080	127743	65729	160332	228008	117425	55648	115264	149365	107623	84678	48114	44746	75387	79316	134586	129737	182971	96608	102727	81024	68054	54075	52285		88731	115543	81706	69847	44123	93626	113744	134206		84914	86613	53446	95737	84878		30976		57720	31419	42419	54528	40188	70955	107186	128987	58658	102963	165572	80214	209946	105520	105590
48997	373368	89286																	24766				56751	18892								510375		2755			1539161		10241						62529	16787	67404						27538	458565										13185	111008	16659	146536			28266		15262						114001						141401			289893	11212		248673		26118	85247			144576	40684	71443	159859	116048					285622		17911					45285				112675				392710	111148	135337	70031	31021	127705		2851950	78345	45542		342106	67807
1125	1413997824	1210179840	2203513856	926990144	949502528	845019392	728773568	1005521024	697078976	803258560	839239296	2010025472	870166144	778975360	984479104	1018159552	754311552	978502784	887796096	1285732480	1204971392	850964800	1260252672	976602944	1430813952	964745728	1454885376	1224960896	970418304	1009234496	971447808	918886272	918225600	948891904	601658752	1046604096	1428315392	1348693632	1361512192	1247990144	665231808	1178238976	901356736	646411904	600438848	786255104	865734976	756122560	1567988992	896652032	1878177792	1142977792	828896192	826657280	1321202560	815949312	1010704256	1028633216	831247424	979406400	1071325376	657395392	923026432	1068185472	1310144768	738684480	1024549440	815573376	1061497408	1196002304	859223104	1332313856	900487808	894780608	740841472	1081423104	1289967872	1053481792	906215040	1212022016	1009698560	913228800	1068290944	1696090368	1065322688	756951808	587896000	390257472	1227782784	764032704	927976192	986507904	1641583360	1307540608	815148160	1872087680	926946752	979508224	1071912064	1020531584	579770624	1038139712	536801728	860704064	511381696	662146624	1487211392	873285568	818916992	886088896	699772864	671706688	972590976	689008576	1229537408	1007515904	716186624	844010368	865808896	705623872	769154048	836065856	2018292480	927035200	945144384	1050005504	909020416	1323977216	871536000	860863360	1066109440	1343009920
40008								98423	68848	24586	347858		16464			47437	12061	75911	80468	63905			6802				26571	56429	51591		122728	17113	8513	28989	4511		53092			77109	45646		8818	201361	101051		19438			41799		29016	148487	399839	278349	69869	78393	13567	13386		69359	19787	62163		56658		99961			153242	26750	21796	56173	106138	310996		36708	100946	100841	49237	176751	106586	53760	101357	128720	90109	93342	98101		75981	70738	100535	100946	80791	116050	150066		135838	84104	53664	722659	376267	355788	777268	575416	218072	346359	396104	1240452	570351	1098559	823285	255357	455025	705773	472428	400896	956406	1196649	684821	145830	450513	219923	388717	150535	437154	245609	144942	142593	182600	254881	194851
20876		723493																																																																																																																																		
44656	6173938	4251976	9589422		1883382	1967900		1199593		10338402	7444973	4864424	4827863	953385	3222194	1695594		806742		1784492	1974891				233515	16690227	1350981	2292066	9978911	27519004	2880091		3702355		2558472	2130881	8656242	2201273		2548532	4193294	1488184	2201273		723526	15949537	3767604	1615693	768084	2382028	2910089	1848442		1539488		17102310	4489668	25980212		2915455	2201273		8249655	642460	3523300	1468261		909575				3341791	17309292	2014825	8704172	389321		971625	5996808	39079100	15554094	29562990	3027958	1263705	13635205	1846515		12719208		1629464	32290886	6819273	1198259	9418064	10815015	1883728	717611			4601483	1207953	338827		374579	611732		1476177	2201273	1751022		1547720								2698783	1816660	1039106	929641		1331084		433917	990268		521509	7350424	1577522	1276272
34407	9558022	14244251	41016468	20158390	9863073	5978264	2846687	7317952	6401887	2893300	4457511	15908141	4272159	12714168	4629358	7323152	4206293	11525991	7719414	8428273	6403418	7745494	7730389	13980553	9190503	5179046	8037366	10228193	13716290	8138558	7095511	5707175	3932914	5491444	2445609	13931425	9705362	19002104	12546946	11905573	11519063	3540645	6672658	4320103	4311081	7548087	3583547	2172957	8028745	12510662	7573761	9422461	8528335	6802072	18973014	5212400	3282490	10133925	2456468	8388027	8610731	3012346	4653288	8304076	7981931	7683575	7966825	26810778	4803570	5820672	5362675	6561948	3362194	9088337	9637825	5659017	5995327	6729312	3571781	9895798	6966346	6031098	5081087	21914886	5978729	5285047	4190998	11484832	5443711	17737352	5034475	6607547	15577745	9095650	3794409	7572336	12987742	17547216	5017898	14345828	14650517	15717923	1913884	9459252	2780186	7189831	11921535	17662198	8635697	13262598	6343687	7094369	17860524	26051314	9432003	17123858	11879322	10493965	16118762	14560239	6740566	9399766	16574437	17217760	16128759	4141657	4790040	13696388	6779118	9473978	5102046	15341407
35107	194953	639713	2597918			175393	61986	303632	191750	98981	138866	308230	322501	117550	121872	107925	273378	359872	578618	314428	261893	158114	390239	292148	318470	250621	289824	456901	558231	59583	429402	426169	49873	139592	117817	301114	159875	115538	165083	177395	416881	160711	108671	212656	75298	287631	85364	80546	301555	212656	370526	104040	64554	124830	218298	206898		304580	226194	136176	151157	204376	76100	215848	218760	69088	377568	4457453	298261	127046	140267	521959	341489	244357	214395	142859	197684	155926	235551	751652	124829	81144	185761		212656	90112	67093	94544	455552	609125	186713	293069	679906	146433	220936	82511	312164	185154	177020	51773	286497	791941	77633	252072	54535	214889	449131	915194		59800	224350	110859	327691	816197	206440	77664	170441	299294	147995	118272			288894	596285	385446	232380	192649	456734	99545	691276	89687	389649
32426							23036														266091		36710																				13133	102703	121137			28909												74531		28609						14094		61793	663342							225207										52282	117187					359450		249463		83259				252533	49653		188726			16774	164985				58143	47360	40326	266919	65442				10497	61793	310968		20481	60668	190343		38080		25980	
35128																																																																																																				859685824																																
