COMPID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
38293	38889328	39918404	134573008	27082556	62710276	16479155	8031181	24934314	53133040	82852168	16769644	41008848	17714576	20911172	29642710	10709118	52310644	31170220	31492246	34796468	68364584	27520578	9377603	25906438	16818162	7080298	26659834	27794714	23058822	31463740	17574690	49293044	14491898	20559444	24872626	65190352	5309314	23987730	63502340	11984940	7830166	29169104	40437200	7696958	20538410	8559888	28332940	33106154	28822820	20778220	10067690	26357766	33011652	13346395	18357442	11849822	12077674	19122684	26754460	35996004	39431276	13688708	20051152	11339348	19468362	17149568	12006910	6435221	10896624	17424456	14570929	32690314	20074246	26625594	21301548	20731624	27519988	11605382	13753119	10200644	19948496	17509658	25991008	15772975	15916503	9346084	9471951	15524111	9528173	13814673	15257679	27848494	6960808	19632190	32406378	13796124	10437416	18335400	12502463	27678790	11969426	9313132	12140074	47708688	11021203	94461880	8802416	15155603	18712190	17855264	7832243	38517480	85314944	13351538	23232766	27294572	17801880	9230088	12748094	11862736	19091568	7302141	68646024	25199366	19624424	15301654	14107510	18681076	7874650	16931040	19864326	11265104
37538	27602644	4231887	5649018	638875	465137	1563919	3498984	197985	909083	3810863	7745935	4105265	1910783	850501		321731	510908	201786		481720	852009	279619	591994	749050	3924907	17973346	2867516		25908792	23626834	2778572	3064913	6170867	2060709	1545558	2211820	6255039	1438857	335598	1570211	17825576	3721405	1236418		952641	20766282	3325356	5067250	1438857	626843		817826	248749	88347		12125668	5541773		8755867		1307502	1274373				2960118	1332155		863272	801577	546426	2494445	11639791	5902466	10767168		4820402	71716	2091344	24248964	23665530	60055720	2069741	9076251	26639936	2913882	164884	64959132	234164	228503	25807652	22829958		11426358	14740039	448235	128414	488053	1559883	21407536	64890	40854	55499		65187	53264	65340					38024	136029	34452	171297	68403	38714		33794		238714			646469	516064		195325		177593	4153506	114359	
38768	59426080	67684640	139729376	62423192	139934400	15339220	15450585	42107080	102772984	155131408	35428884	68630096	46549296	56559360	93114456	19802364	113937960	56629360	35332408	44326940	46805156	91459472	28824578	26874922	35822920	15442598	53890628	47217192	47146940	109290928	29478428	67728920	33383246	39096636	46570920	119874432	12668016	43148864	152870352	18581706	19818380	27898324	57721600	16066755	28866244	13271971	48474020	52780604	102518024	28465138	17381214	34883336	54478448	33008370	25337920	26786604	12903878	39696768	40159688	54159448	65859724	20557956	28662418	16787788	28633202	24585962	11591724	8801699	25795552	31827126	32722408	56191628	22461590	53092852	41434040	45421484	56063816	9932325	26037866	8829646	31401676	33816384	40215012	20096268	29803436	18581274	20327366	35603904	28749534	30482642	33036888	67509440	12001157	34030524	47513784	22622212	19552130	40660952	16846486	38375620	25233558	15151500	24737188	96099176	22403566	80421912	20046946	33248134	33562612	29915318	16372335	39856356	63396512	14027784	53906040	53520020	26813670	22277546	32468642	31991716	39168056	10685087	112008176	38705356	20735016	39115296	29818210	23188402	6177964	22248468	26561754	20138702
38168	75708	86885	241715	431147	225186	297443	80569	68319	386811	336151	961240	61890		94368	91330	35586		1404032	111926		36420	404908	97239	145788	509653	503618	860327	73329	1112632	92832	753164	734268	444335	2706035	291666	2625897	819884	1741032	1125010	2062835	1141320	1398516	520813	785768	683244	592510	3017084	1464412	10711672	2126444	1763121	1478290	2960111	3564166	3811580	4161985	5513420	1099315	7036459	3826816	3749438	6572162	3247301	2301037	1662058	6536234	2342363	6657232	9581526	3509772	1534715	1318725	502445	5085538	3816435	2577785	5662177	5758814	25504722	14373218	18573020	9862480	23923168	7054676	941906	6418827	3314183	4159816	3144257	3601212	4087343	1743886	1983618	11503543	4001821	3219084	5181074	3644986	2636093	5936286	1033943	5643602	1622982	2003492	3297201	1547202	52060	324474	1374345	2881497	1905946	159475	2762880	1387003	1206096	8460557	1730201	2382236	6830148	1213269	3632436	4806896	1485263	2936725	2939092	6140148	2886233	1944782	1008266	2842066	2457102	11239947
39609	4210772	4569829	5157484	2409070	8730961	2448953	2583085	3993961	3695472	5604021	3004187	3651365	2351753	3686442	5503629	2954634	4404118	5136917	4320729	4923482	3730387	4290500	2018501	2791185	3471109	1770090	4321270	2777454	2716618	8974623	2075579	3584596	2343725	2290132	2747306	4188340	3152506	3606660	5748551	4919122	2580714	4589521	3083213	2241165	2072033	2467171	3517765	4407416	4488483	2671362	2376953	3762378	4067176	3266444	2072294	2822979	7442401	2994226	3003676	3666127	4929940	2174716	4317489	2798253	3988689	3102704	2414092	2406185	2687068	3034977	2605910	3350558	2923204	1797541	3910064	3342427	3810980	3083041	4232355	3257103	4703846	3904712	4403023	3494562	2918247	2440940	1362087	3162578	2277598	2431363	2756235	4221960	2812137	3041680	4395318	3446099	1796790	3291884	3155224	5099158	2595486	1750410	3407983	3634720	2455471	3592881	2630730	2421887	4043962	2612346	2560924	2509239	3958476	2509558	3124574	2685907	2510169	2334426	2582883	2304184	2409284	2388590	4968898	3063550	2624414	3381031	2612735	3347269	1193735	2935607	2820138	3556409
47403																																																							589708		227396		280047								44524									136580		420853	799531	522706	123461	748480	167128	33219	59811	156838	192117	371503	1122550	27920	445460	320972	622680	296697		192117	260773	139753	77319	171088									31396	51469								74865		196488	136780	293626			90044		77018		259710	349648		175555
38296	1919831	1807259	5417361	4069722	6734074	1356110	990353	1420852	2536296	6476369	1250317	1767870	2234338	2841034	3578550	1017571	3422468	3932909	1242335	1284180	1441629	3038393	1802953	716801	2013515	671232	1832074	2085968	1686992	4896100	1354170	1712310	2123839	1896196	1550494	4558879	986493	1528037	7150216	989330	884068	1504020	2504441	1008628	1228684	1085381	1644621	2333452	4255214	1172554	1458056	2495418	3913385	1600504	1091004	850401	1125679	1830763	899654	2597646	2972579	1226248	2168573	1471909	1440604	1182074	796070	463556	763264	1496926	1256905	1671231	824426	1653833	1597791	1676556	1601498	1198447	1724152	1026135	1296653	2798144	3468957	1358462	1468547	1027507	366084	1537408	1722039	1542745	1519303	3309190	976225	1522699	2500955	1402435	1131474	2033013	1430169	2985895	1178893	1325715	1555135	3740273	1450718	2430743	1380748	1546142	1806621	1409526	936045	2076296	1860431	1350108	3393528	4065536	1865507	1232028	2047544	1921220	2112748	942951	3556826	1454168	1354319	1514950	1373219	1075968	807579	1116951	1490933	778049
33228	73486536	24846764	29315084	27435076	51398104	29046892	23807398	31297790	48906076	17943742	28125922	44757396	25404100	48718648	45684108	56044272	25703110	74602688	27307092	52820524	36618324	36345196	71468184	56717104	34002200	17022806	34412352	38171088	44128228	28646892	20068582	42665012	29150562	9635125	22642510	45829944	14761887	48983624	23399278	96924264	30018334	34924392	47051332	22906170	73821928	29512724	34264096	73729160	81072096	54516660	28765324	55377472	32880182	12137660	36965692	51939424	47020348	35927320	45462612	38813512	56599328	51703308	48083928	54564916	53358728	33159462	49723928	10002212	32696962	47615084	30143230	38097112	44990624	52534372	60037548	39976332	58118868	45191576	50777848	38855700	51526496	15436190	40380008	82956664	33937680	34374564	45511304	39362072	43729144	33778524	25006754	35579956	42892648	29896990	65873620	50073748	36200452	59154396	32615214	41646816	28226692	22237556	13632455	27789018	24683298	26136324	26523212	22932224	32815240	52556208	9543835	25108830	39388676	34512348	43855380	25949950	26657520	15052912	19144254	15030698	32598478	41821956	52579696	26830736	23358948	23240954	18246586	29217944	40997556	57890028	43602808	37398360
35186	23663804	14178231	17313846	12251175	8828899	9464152	13594699	11728837	9985981	8866472	9673391	18909594	8550637	11926305	16462777	10031770	12144284	9939662	10006882	11608683	15920761	13407192	19795036	11152851	14663491	8293758	18178316	15228817	9744670	12165074	15270715	12950785	15460059	13889108	9531943	13902631	12063951	15964886	20470950	27234860	7544115	14696543	11960403	12240378	11428407	8612879	12501847	9934650	21726138	10591082	17962094	12528499	11711753	11454784	13384172	13205966	10749236	17014632	11704799	17979730	18143930	16409725	8499861	13266177	14285353	13623350	8751238	11819952	12738969	12365914	18886684	14573114	12053853	11817228	17448802	13395809	8917883	14131686	19387202	10564799	8719011	7615332	19821682	20805680	18951538	6684444	10796914	13577124	12499980	14404406	13026999	17614790	12266392	7408795	9753872	11149885	10555508	17300394	15660316	12632349	12211003	13243155	18795978	13055649	13798849	17116654	14371550	19421554	11171598	23288438	13719215	10537295	29415070	15730959	15123470	12619040	6717158	14908005	12740843	11742784	17450816	20109392	17755458	17263242	17032922	14152037	16485419	16243789	14666706	27323106	13862295	19612390
34214	5936753	4150084	4996108	5489747	4905380	5651877	5636643	4636554	5934817	4541621	4466856	4384633	3702924	5580681	5479090	3765413	5735100	8265867	6459301	3997005	7005818	4551979	6378120	4294082	3257524	3821335	4995102	5951283	2791821	8408644	5502619	5627641	15916363	6687451	4752574	4050893	7039425	4421482	5916212	10405428	2318568	4835786	4438232	2483456	5339845	6113325	3949984	6128755	4850541	5458464	4125397	5115788	9230703	2823220	6310343	4747982	8026132	12937776	4931334	8096205	4791797	9817335	4546311	3442618	5384308	8233958	5065672	5625401	3947257	5304761	8542368	5422322	8006119	6367397	5942282	5843494	5551308	4809530	6075692	3978690	5198188	7324290	7828147	8540670	8358140	4984719	5779874	8066166	6068608	4395653	4518144	7440707	3899161	10059766	11784673	4948528	4760834	6431483	6224543	3013517	4839894	5460357	4987410	4481044	6482467	5768036	5187921	4264356	5424214	7889773	5871192	5542833	6489283	6531467	5039901	9172351	3871654	4290244	4263281	3796606	5562034	5145482	4736452	6641429	3327605	7988783	4091805	3479086	6294213	7638191	5498371	4829600
